,loc_info,LATITUDE,LONGITUDE
52,EW7 | EUNOS,1.31978354779205,103.903225812967
53,EW8 | PAYA LEBAR,1.31811149224527,103.893060771576
54,EW9 | ALJUNIED,1.3164326118157,103.882906044385
55,EW10 | KALLANG,1.3114889099882,103.871386541754
56,EW11 | LAVENDER,1.30737781747062,103.862767633888
57,EW12 | BUGIS,1.3004644634548,103.855706146461
58,EW13 | CITY HALL,1.29293672227779,103.852585580366
59,EW14 | RAFFLES PLACE,1.28412561043657,103.851461712342
60,EW15 | TANJONG PAGAR,1.27656131737246,103.845725186759
61,EW16 | OUTRAM PARK,1.28140504772212,103.839130979249
62,EW17 | TIONG BAHRU,1.28610253615775,103.827445112419
63,EW18 | REDHILL,1.28963453412887,103.81674097205
64,EW19 | QUEENSTOWN,1.29455085184929,103.806077155982
65,EW20 | COMMONWEALTH,1.30250199924323,103.798228523336
66,EW21 | BUONA VISTA,1.3072237082044,103.790253514502
67,EW22 | DOVER,1.31140529320963,103.778637841909
68,EW23 | CLEMENTI,1.31511625277378,103.765191452888
69,EW24 | JURONG EAST,1.33315281585761,103.742286332403
70,EW25 | CHINESE GARDEN,1.34235282081401,103.732596738363
71,EW26 | LAKESIDE,1.34425911493819,103.720949087456
72,EW27 | BOON LAY,1.33860405469845,103.706064622772
73,EW28 | PIONEER,1.33758701106708,103.697321608474
74,EW29 | JOO KOON,1.3277170408447,103.678374996165
75,EW30 | GUL CIRCLE,1.31947090075209,103.660530461345
76,EW31 | TUAS CRESCENT,1.32102695598684,103.649078235627
77,EW32 | TUAS WEST ROAD,1.32998504653102,103.639616648771
78,EW33 | TUAS LINK,1.34088242451105,103.636991425128
79,DT1 | BUKIT PANJANG,1.37900211641035,103.761535114929
80,DT2 | CASHEW,1.36981544925551,103.76443921414
81,DT3 | HILLVIEW,1.36234486803558,103.767418254007
82,DT5 | BEAUTY WORLD,1.34122317558549,103.775794285083
83,DT6 | KING ALBERT PARK,1.33566161262214,103.783399113441
84,DT7 | SIXTH AVENUE,1.33085764536226,103.796906838288
85,DT8 | TAN KAH KEE,1.32555623519897,103.807760304729
86,DT9 | BOTANIC GARDENS,1.32248807089544,103.816013994259
87,DT10 | STEVENS,1.32006555750625,103.826024401924
88,DT11 | NEWTON,1.31399286264569,103.837714613091
89,DT12 | LITTLE INDIA,1.30701826765224,103.848660935092
90,DT13 | ROCHOR,1.30385218527654,103.852769428884
91,DT14 | BUGIS,1.29931350399328,103.857125958751
92,DT15 | PROMENADE,1.29289175383295,103.860891800025
93,DT16 | BAYFRONT,1.28187378879209,103.859079764874
94,DT17 | DOWNTOWN,1.27944619017898,103.852840444471
95,DT18 | TELOK AYER,1.28206894769394,103.848648781083
96,DT19 | CHINATOWN,1.28422391919085,103.845143798953
97,DT20 | FORT CANNING,1.29248194822995,103.844331362465
98,DT21 | BENCOOLEN,1.29891843369422,103.850353762717
99,DT22 | JALAN BESAR,1.3051713878069,103.855295713435
100,DT23 | BENDEMEER,1.31367252847691,103.862977620945
101,DT24 | GEYLANG BAHRU,1.3213011022832,103.871622627142
102,DT25 | MATTAR,1.32687671501334,103.883247509542
103,DT26 | MACPHERSON,1.3261502445736,103.889298600376
104,DT27 | UBI,1.32997425973972,103.899226655439
105,DT28 | KAKI BUKIT,1.33496735995428,103.908459338046
106,DT29 | BEDOK NORTH,1.33474211664092,103.91797832995
107,DT30 | BEDOK RESERVOIR,1.33660782955099,103.932234623286
108,DT31 | TAMPINES WEST,1.34551530560119,103.938436971222
109,DT32 | TAMPINES,1.35515041120472,103.943009883131
110,DT33 | TAMPINES EAST,1.35619148271544,103.9546344625
111,DT34 | UPPER CHANGI,1.34173978431349,103.961472614026
112,DT35 | EXPO,1.33538252614955,103.962374747451
113,CG1 | EXPO,1.33454977824816,103.961548211018
114,CG2 | CHANGI AIRPORT,1.35747897447692,103.98788356959
115,CE1 | BAYFRONT,1.28187378879209,103.859079764874
116,CE2 | MARINA BAY,1.27625146423743,103.855447156279
117,CC1 | DHOBY GHAUT,1.29891164362675,103.84629250696
118,CC2 | BRAS BASAH,1.29686168649655,103.850667371637
