title,review_counts,address,search_keyword,LATITUDE,LONGITUDE,X,Y,score,keyword_len
F1 - Singapore Grand Prix,595,"Marina Bay Street Circuit, Singapore 038975 Singapore",038975,1.29157236047167,103.863810712179,31393.5122518735,30441.0489352085,,6
The Intan,571,"69 Joo Chiat Terrace, Singapore 427231 Singapore",427231,1.31466132185251,103.901012704504,35533.7069936125,32994.1891082507,,6
National Library of Singapore,569,"100 Victoria Street National Library Building, Singapore 188064 Singapore",188064,1.2973944678668,103.8544187282,30348.2597675407,31084.8169858847,0,6
OCBC Skyway,568,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",018953,1.28175820937716,103.861585715892,31145.9012881126,29355.8477973901,0,6
Sri Veeramakaliamman Temple,549,"141 Serangoon Road, Singapore 218042 Singapore",218042,1.30791906423205,103.852253364956,30107.2652639486,32248.5708057657,0,6
Sungei Buloh Wetland Reserve,536,"301 Neo Tiew Crescent Sungei Buloh Wetland Reserve, Singapore 718925 Singapore",718925,1.44614056623457,103.728890512078,16378.7922305716,47532.6614140552,0,6
Raffles City,521,"252 North Bridge Rd, Singapore 179101 Singapore",179101,1.29407041851609,103.852994405912,30189.748152893,30717.2594508883,0,6
Singapore Art Museum,517,"61 Stamford Road #02-02 Stamford Court, Singapore 178892 Singapore",178892,1.29391653531543,103.850006863472,29857.2607988389,30700.2414586525,0,6
Singapore City Gallery,512,"45 Maxwell Road The Ura Centre The URA Centre, Level 2, Singapore 069118 Singapore",069118,1.28002547483057,103.845674373929,29375.0998392385,29164.2369318288,0,6
Kampong Glam,476,"Kampong Glam, Singapore Singapore",Kampong Glam,1.30244543508785,103.862996070029,31302.8354867892,31643.3365619443,0.8890678314496893,12
Esplanade Park,436,"Connaught Drive, Singapore Singapore",Esplanade Park,1.28948782949149,103.853662660788,30264.1231570384,30210.5409561824,1.0,14
Bukit Timah Nature Reserve,419,"177 Hindhede Drive Bukit Timah Vhf Station, Singapore 589333 Singapore",589333,1.35190464471836,103.777098375062,21743.3249159884,37112.3353491277,0,6
